factor_id,name,scope,category_path,unit,gas,value_kgco2e_per_unit,geography,publication_year,source,source_version,licence,retrieved_on
desnz.2025.1_100_1004_6_3,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,kWh (Gross CV),CH4,0.00028,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_6_4,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,kWh (Gross CV),N2O,9e-05,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_15_1,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),tonnes,CO2e,2603.30441,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_15_2,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),tonnes,CO2,2598.26,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_15_3,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),tonnes,CH4,3.8528,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_15_4,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),tonnes,N2O,1.19161,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_1_1,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),cubic metres,CO2e,2.08906,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_1_2,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),cubic metres,CO2,2.08504,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_1_3,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),cubic metres,CH4,0.00307,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_1_4,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),cubic metres,N2O,0.00095,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
